<<<<<<< HEAD
,Fur color,Count
0,Gray,2473
1,Black,103
2,Cinnamon,392
=======
,Fur color,Count
0,Gray,2473
1,Black,103
2,Cinnamon,392
>>>>>>> 8e6fd66c9ea75f5b66df0705ab2618bd06383890
